component_type,0.000,0.500,1.000,1.500
Basins,0.0,0.13629629629629633,0.4740740740740741,0.7103703703703702
Chemical Tanks,0.0,0.1457142857142857,0.48857142857142855,0.6542857142857142
Electric Power Backup,0.0,0.14,0.34,0.52
Electric Power Commercial,0.0,0.02,0.38,0.78
Elevated Pipes,0.0,0.12,0.52,0.81
Horizontal Pump,0.0,0.0,0.26,0.4
Internal Pipework,0.0,0.12571428571428572,0.5114285714285715,0.7571428571428572
Pipe Connectors,0.0,0.09200000000000001,0.4800000000000001,0.712
Sediment Flocculation,0.0,0.025,0.2825,0.535
Vertical Pump,0.0,0.08,0.26,0.5
Wells,0.0,0.05,0.30000000000000004,0.45999999999999996
