component_id,response,0.000,0.500,1.000,1.500
backup_power_supply,func_mean,1.0,0.846,0.554,0.395
backup_power_supply,func_std,0.0,0.3550830888679437,0.45164587898042424,0.4456736474147872
backup_power_supply,loss_mean,0.0,0.006280000000000001,0.02048,0.027200000000000005
backup_power_supply,loss_std,0.0,0.014411162340352704,0.017868676503871236,0.016089748288895016
backup_power_supply,num_failures,0.0,0.14,0.34,0.52
chem_tank_Fl,func_mean,1.0,0.7830000000000001,0.41,0.218
chem_tank_Fl,func_std,0.0,0.35321523183464215,0.4308131845707604,0.340846006284363
chem_tank_Fl,loss_mean,0.0,0.010791,0.022341000000000003,0.026828999999999995
chem_tank_Fl,loss_std,0.0,0.012058373397768043,0.010689198707106159,0.006721072012707496
chem_tank_Fl,num_failures,0.0,0.16,0.5,0.66
chem_tank_coag1,func_mean,1.0,0.7280000000000001,0.35300000000000004,0.268
chem_tank_coag1,func_std,0.0,0.37258019271024057,0.3982976274094537,0.3665733214515208
chem_tank_coag1,loss_mean,0.0,0.013266000000000002,0.023562000000000003,0.026036999999999998
chem_tank_coag1,loss_std,0.0,0.012205361281010898,0.010042198763219138,0.007656355595190181
chem_tank_coag1,num_failures,0.0,0.18,0.48,0.6
chem_tank_ph_acid,func_mean,1.0,0.789,0.456,0.28200000000000003
chem_tank_ph_acid,func_std,0.0,0.31516503613186536,0.43893507492566597,0.37692970166862677
chem_tank_ph_acid,loss_mean,0.0,0.011946000000000003,0.020493,0.025278000000000002
chem_tank_ph_acid,loss_std,0.0,0.01181823946279648,0.011321885929473056,0.008538267740004409
chem_tank_ph_acid,num_failures,0.0,0.1,0.44,0.58
chem_tank_ph_base,func_mean,1.0,0.679,0.46099999999999997,0.16899999999999998
chem_tank_ph_base,func_std,0.0,0.4089119709668574,0.4242982441632301,0.30755324742229595
chem_tank_ph_base,loss_mean,0.0,0.013926,0.021021,0.027489000000000003
chem_tank_ph_base,loss_std,0.0,0.012592689307689602,0.01115092413210672,0.006072448353012153
chem_tank_ph_base,num_failures,0.0,0.24,0.4,0.72
chem_tank_phosphate,func_mean,1.0,0.796,0.331,0.205
chem_tank_phosphate,func_std,0.0,0.31762241734487195,0.41495662423920887,0.34077118422777475
chem_tank_phosphate,loss_mean,0.0,0.011187000000000002,0.023793,0.027026999999999995
chem_tank_phosphate,loss_std,0.0,0.011968085937191461,0.009839812040887774,0.0062603531050572534
chem_tank_phosphate,num_failures,0.0,0.1,0.58,0.7
chlorine_contact_chamber,func_mean,1.0,0.818,0.43,0.20299999999999996
chlorine_contact_chamber,func_std,0.0,0.31173065296823155,0.41749251490296213,0.3492005154635371
chlorine_contact_chamber,loss_mean,0.0,0.0007525000000000001,0.0017370000000000003,0.0021695000000000004
chlorine_contact_chamber,loss_std,0.0,0.0008870914552626465,0.0008589417908100642,0.0006059350212687827
chlorine_contact_chamber,num_failures,0.0,0.1,0.42,0.72
chlorine_tank,func_mean,1.0,0.767,0.37200000000000005,0.23399999999999999
chlorine_tank,func_std,0.0,0.3457759390125345,0.4218009008999388,0.3727519282310958
chlorine_tank,loss_mean,0.0,0.012045000000000002,0.021714,0.025575
chlorine_tank,loss_std,0.0,0.012383796873334123,0.011678270591144905,0.008619572205161925
chlorine_tank,num_failures,0.0,0.14,0.48,0.68
clearwell_1,func_mean,1.0,0.7810000000000001,0.317,0.231
clearwell_1,func_std,0.0,0.31998281203839685,0.41129186716977517,0.3786674002340312
clearwell_1,loss_mean,0.0,0.0009274999999999999,0.0019030000000000002,0.0020700000000000002
clearwell_1,loss_std,0.0,0.0008476769726729634,0.0008539707254935617,0.0007442949684097026
clearwell_1,num_failures,0.0,0.1,0.58,0.7
clearwell_2,func_mean,1.0,0.8530000000000001,0.431,0.272
clearwell_2,func_std,0.0,0.28972573237460286,0.4313803426212186,0.3947353543831614
clearwell_2,loss_mean,0.0,0.000613,0.0017185,0.0019990000000000003
clearwell_2,loss_std,0.0,0.0007968098894968611,0.0008836261935909326,0.0007917695371760649
clearwell_2,num_failures,0.0,0.08,0.46,0.64
commercial_power_supply,func_mean,1.0,0.7090000000000001,0.31200000000000006,0.111
commercial_power_supply,func_std,0.0,0.19866806487203725,0.3012573650551966,0.23394230057858284
commercial_power_supply,loss_mean,0.0,0.008480000000000001,0.014180000000000002,0.016640000000000002
commercial_power_supply,loss_std,0.0,0.003144773441760153,0.004058029078259544,0.00303815733628132
commercial_power_supply,num_failures,0.0,0.02,0.38,0.78
connector_clearwell,func_mean,1.0,0.607,0.244,0.107
connector_clearwell,func_std,0.0,0.3391179735726197,0.32613494139696225,0.20347235684485498
connector_clearwell,loss_mean,0.0,0.0011250000000000001,0.0018375000000000002,0.0020350000000000004
connector_clearwell,loss_std,0.0,0.0006763874629234343,0.000547294481974741,0.00041082234603292945
connector_clearwell,num_failures,0.0,0.08,0.56,0.72
connector_daf,func_mean,1.0,0.639,0.284,0.111
connector_daf,func_std,0.0,0.34180257459533564,0.2885203632328228,0.166520269036535
connector_daf,loss_mean,0.0,0.0011225000000000002,0.0017575000000000002,0.00203
connector_daf,loss_std,0.0,0.0006761517950874642,0.000451670510438749,0.00031080540535840113
connector_daf,num_failures,0.0,0.12,0.38,0.66
connector_oz,func_mean,1.0,0.5589999999999999,0.196,0.105
connector_oz,func_std,0.0,0.3488108369876142,0.2694141792853524,0.16499999999999998
connector_oz,loss_mean,0.0,0.0011775000000000002,0.00187,0.0020425
connector_oz,loss_std,0.0,0.0007168027971485603,0.0005098774362530667,0.00030680816481964756
connector_oz,num_failures,0.0,0.1,0.54,0.68
daf_1,func_mean,1.0,0.775,0.36,0.162
daf_1,func_std,0.0,0.3671852393547431,0.4228474902373195,0.3357916020391219
daf_1,loss_mean,0.0,0.0023729999999999997,0.005524499999999999,0.0066075000000000005
daf_1,loss_std,0.0,0.002790232248397971,0.0026010454148284296,0.0019087315814435512
daf_1,num_failures,0.0,0.16,0.54,0.8
