component_type,response,0.000,0.500,1.000,1.500
Ash Disposal System,func_mean,1.0,0.64,0.06,0.0
Ash Disposal System,func_std,0.0,0.48,0.23748684174075835,0.0
Ash Disposal System,loss_mean,0.0,0.0010249999999999999,0.00367,0.004779999999999999
Ash Disposal System,loss_std,0.0,0.001375908790581701,0.0016197530676001202,0.0006197580172938466
Ash Disposal System,loss_tot,0.0,0.0010249999999999999,0.00367,0.004779999999999999
Ash Disposal System,num_failures,0.0,0.02,0.5,0.86
Boiler,func_mean,1.0,0.63,0.02,0.0
Boiler,func_std,0.0,0.4826932219902319,0.09797958971132714,0.0
Boiler,loss_mean,0.0,0.032754652775170784,0.11658924864466075,0.1486224332970304
Boiler,loss_std,0.0,0.04453104058833199,0.05200412200476952,0.033094197543028864
Boiler,loss_tot,0.0,0.06550930555034157,0.2331784972893215,0.2972448665940608
Boiler,num_failures,0.0,0.02,0.2,0.37
Coal Yard,func_mean,1.0,0.98,0.44,0.12
Coal Yard,func_std,0.0,0.13999999999999999,0.4963869458396343,0.3249615361854384
Coal Yard,loss_mean,0.0,0.00015,0.005484,0.008360000000000001
Coal Yard,loss_std,0.0,0.00105,0.003692173343709637,0.002278244938543703
Coal Yard,loss_tot,0.0,0.00015,0.005484,0.008360000000000001
Coal Yard,num_failures,0.0,0.0,0.24,0.56
Demineralisation Plant,func_mean,1.0,0.74,0.08,0.0
Demineralisation Plant,func_std,0.0,0.4386342439892262,0.2712931993250107,0.0
Demineralisation Plant,loss_mean,0.0,0.0014707276371419829,0.005502251630719418,0.008054396648112859
Demineralisation Plant,loss_std,0.0,0.0016842359655439487,0.0025547683973774445,0.0011858647652213494
Demineralisation Plant,loss_tot,0.0,0.0014707276371419829,0.005502251630719418,0.008054396648112859
Demineralisation Plant,num_failures,0.0,0.0,0.22,0.76
Electrostatic Precipitator,func_mean,1.0,0.16999999999999998,0.01,0.0
Electrostatic Precipitator,func_std,0.0,0.37539675492121904,0.06999999999999999,0.0
Electrostatic Precipitator,loss_mean,0.0,0.0003409804370401966,0.0010069108890070448,0.0012570522674038198
Electrostatic Precipitator,loss_std,0.0,0.0003641789193926019,0.0004323326137293013,0.00022772774238201637
Electrostatic Precipitator,loss_tot,0.0,0.0013639217481607865,0.004027643556028179,0.005028209069615279
Electrostatic Precipitator,num_failures,0.0,0.05500000000000001,0.515,0.865
Fresh Water Supply,func_mean,1.0,0.74,0.02,0.0
Fresh Water Supply,func_std,0.0,0.4386342439892262,0.13999999999999999,0.0
Fresh Water Supply,loss_mean,0.0,0.0034320919519344765,0.01792572350571183,0.02124186640521609
Fresh Water Supply,loss_std,0.0,0.0037100797938118923,0.005424681095809113,0.0032994789636099963
Fresh Water Supply,loss_tot,0.0,0.0034320919519344765,0.01792572350571183,0.02124186640521609
Fresh Water Supply,num_failures,0.0,0.0,0.36,0.7
Generator,func_mean,1.0,0.91,0.24000000000000002,0.0
Generator,func_std,0.0,0.2856465996625054,0.4244994432064365,0.0
Generator,loss_mean,0.0,0.00018151712437586333,0.0075911392271034136,0.03210991387356618
Generator,loss_std,0.0,0.0007060270517013182,0.010752015988764506,0.023575316493489734
Generator,loss_tot,0.0,0.00036303424875172666,0.015182278454206827,0.06421982774713236
Generator,num_failures,0.0,0.0,0.03,0.49
Main Feed Conveyor,func_mean,1.0,0.63,0.06,0.0
Main Feed Conveyor,func_std,0.0,0.4826932219902319,0.23748684174075835,0.0
Main Feed Conveyor,loss_mean,0.0,0.0015380687645661032,0.004918366697053783,0.006368773511307827
Main Feed Conveyor,loss_std,0.0,0.0020183795350714752,0.0020560359483366452,0.0008711152054408106
Main Feed Conveyor,loss_tot,0.0,0.0030761375291322064,0.009836733394107566,0.012737547022615654
Main Feed Conveyor,num_failures,0.0,0.06,0.47,0.8899999999999999
Power House,func_mean,1.0,0.9,0.26,0.06
Power House,func_std,0.0,0.3,0.4386342439892262,0.23748684174075835
Power House,loss_mean,0.0,0.014860000000000002,0.07482,0.09281999999999999
Power House,loss_std,0.0,0.025605475976829644,0.029684804193391614,0.019587434747817288
Power House,loss_tot,0.0,0.014860000000000002,0.07482,0.09281999999999999
Power House,num_failures,0.0,0.04,0.48,0.84
Stack,func_mean,1.0,1.0,0.38,0.02
Stack,func_std,0.0,0.0,0.48494897427831785,0.09797958971132714
Stack,loss_mean,0.0,2.0038027641931245e-05,0.003446540754412174,0.006131636458430961
Stack,loss_std,0.0,0.00011219932206386142,0.0028246327705285946,0.0022419175726263326
Stack,loss_tot,0.0,4.007605528386249e-05,0.006893081508824348,0.012263272916861922
Stack,num_failures,0.0,0.0,0.19,0.53
Stacker Reclaimer,func_mean,1.0,0.5333333333333333,0.18000000000000002,0.04
Stacker Reclaimer,func_std,0.0,0.49636587610012645,0.38180692974936004,0.19595917942265428
Stacker Reclaimer,loss_mean,0.0,0.005371286773666081,0.016050106175316745,0.021309823194040216
Stacker Reclaimer,loss_std,0.0,0.007334713068295258,0.009597616439321255,0.006478924040476006
Stacker Reclaimer,loss_tot,0.0,0.016113860320998243,0.04815031852595024,0.06392946958212065
Stacker Reclaimer,num_failures,0.0,0.06666666666666667,0.54,0.84
Stepup Transformer,func_mean,1.0,0.55,0.05,0.0
Stepup Transformer,func_std,0.0,0.4949489742783178,0.20564659966250537,0.0
Stepup Transformer,loss_mean,0.0,0.00018427352159484846,0.001057626197885926,0.00499095749333653
Stepup Transformer,loss_std,0.0,0.00021899056896453148,0.0005739045413283733,0.00498292475389862
Stepup Transformer,loss_tot,0.0,0.00036854704318969693,0.002115252395771852,0.00998191498667306
Stepup Transformer,num_failures,0.0,0.0,0.0,0.29000000000000004
Supply Conveyor,func_mean,1.0,0.8099999999999999,0.16,0.04
Supply Conveyor,func_std,0.0,0.3876196060142053,0.36609664922421364,0.16219501026644226
Supply Conveyor,loss_mean,0.0,0.0010509472452184191,0.002812487572511851,0.0031445404146029786
Supply Conveyor,loss_std,0.0,0.0010138124585202764,0.0007356090921705456,0.00041835211362066126
Supply Conveyor,loss_tot,0.0,0.0042037889808736765,0.011249950290047404,0.012578161658411914
Supply Conveyor,num_failures,0.0,0.07,0.5700000000000001,0.815
Turbine and Condenser,func_mean,1.0,0.9299999999999999,0.09,0.0
Turbine and Condenser,func_std,0.0,0.24797958971132714,0.2856465996625054,0.0
Turbine and Condenser,loss_mean,0.0,0.0011186457619009262,0.03815824987817603,0.10875722685147893
Turbine and Condenser,loss_std,0.0,0.004264931469868902,0.040793573693964594,0.049670700934750595
Turbine and Condenser,loss_tot,0.0,0.0022372915238018523,0.07631649975635206,0.21751445370295786
Turbine and Condenser,num_failures,0.0,0.0,0.05,0.54
Unloader,func_mean,1.0,0.79,0.322,0.174
Unloader,func_std,0.0,0.3268371704645945,0.4012746009741456,0.3293862863165523
Unloader,loss_mean,0.0,0.00520637583548262,0.019885967921968013,0.02488471162044235
Unloader,loss_std,0.0,0.008773035968354107,0.0128028641982403,0.01119626210115792
Unloader,loss_tot,0.0,0.01041275167096524,0.03977193584393603,0.0497694232408847
Unloader,num_failures,0.0,0.05,0.51,0.75
