component_id,response,0.000,0.500,1.000,1.500
ash_disposal,func_mean,1.0,0.64,0.06,0.0
ash_disposal,func_std,0.0,0.48,0.23748684174075835,0.0
ash_disposal,loss_mean,0.0,0.0010249999999999999,0.00367,0.004779999999999999
ash_disposal,loss_std,0.0,0.001375908790581701,0.0016197530676001202,0.0006197580172938466
ash_disposal,num_failures,0.0,0.02,0.5,0.86
boiler_1,func_mean,1.0,0.62,0.04,0.0
boiler_1,func_std,0.0,0.4853864439804639,0.19595917942265428,0.0
boiler_1,loss_mean,0.0,0.030878835655887876,0.11658924864466076,0.15064254404087354
boiler_1,loss_std,0.0,0.041118366575108145,0.05104324509181324,0.0355981466792903
boiler_1,num_failures,0.0,0.02,0.18,0.42
boiler_2,func_mean,1.0,0.64,0.0,0.0
boiler_2,func_std,0.0,0.48,0.0,0.0
boiler_2,loss_mean,0.0,0.03463046989445369,0.11658924864466075,0.14660232255318728
boiler_2,loss_std,0.0,0.04794371460155584,0.05296499891772579,0.030590248406767422
boiler_2,num_failures,0.0,0.02,0.22,0.32
coal_supply,func_mean,1.0,1.0,1.0,1.0
coal_supply,func_std,0.0,0.0,0.0,0.0
coal_supply,loss_mean,0.0,0.0,0.0,0.0
coal_supply,loss_std,0.0,0.0,0.0,0.0
coal_supply,num_failures,0.0,0.0,0.0,0.0
coal_yard,func_mean,1.0,0.98,0.44,0.12
coal_yard,func_std,0.0,0.13999999999999999,0.4963869458396343,0.3249615361854384
coal_yard,loss_mean,0.0,0.00015,0.005484,0.008360000000000001
coal_yard,loss_std,0.0,0.00105,0.003692173343709637,0.002278244938543703
coal_yard,num_failures,0.0,0.0,0.24,0.56
demin_plant,func_mean,1.0,0.74,0.08,0.0
demin_plant,func_std,0.0,0.4386342439892262,0.2712931993250107,0.0
demin_plant,loss_mean,0.0,0.0014707276371419829,0.005502251630719418,0.008054396648112859
demin_plant,loss_std,0.0,0.0016842359655439487,0.0025547683973774445,0.0011858647652213494
demin_plant,num_failures,0.0,0.0,0.22,0.76
feed_conv_1,func_mean,1.0,0.64,0.06,0.0
feed_conv_1,func_std,0.0,0.48,0.23748684174075835,0.0
feed_conv_1,loss_mean,0.0,0.0014875967325682518,0.005057828890732057,0.006481671477618811
feed_conv_1,loss_std,0.0,0.0020389666847870896,0.002015223637697608,0.0007190765106623592
feed_conv_1,num_failures,0.0,0.08,0.5,0.94
feed_conv_2,func_mean,1.0,0.62,0.06,0.0
feed_conv_2,func_std,0.0,0.4853864439804639,0.23748684174075835,0.0
feed_conv_2,loss_mean,0.0,0.0015885407965639544,0.004778904503375509,0.006255875544996844
feed_conv_2,loss_std,0.0,0.001997792385355861,0.0020968482589756826,0.001023153900219262
feed_conv_2,num_failures,0.0,0.04,0.44,0.84
gen_1,func_mean,1.0,0.92,0.2,0.0
gen_1,func_std,0.0,0.2712931993250107,0.4,0.0
gen_1,loss_mean,0.0,0.00011170284576976206,0.008982770513985033,0.03420899651698963
gen_1,loss_std,0.0,0.0003788027800323373,0.011717434628066152,0.02382634945197709
gen_1,num_failures,0.0,0.0,0.04,0.54
gen_2,func_mean,1.0,0.9,0.28,0.0
gen_2,func_std,0.0,0.3,0.44899888641287294,0.0
gen_2,loss_mean,0.0,0.0002513314029819646,0.0061995079402217945,0.03001083123014274
gen_2,loss_std,0.0,0.001033251323370299,0.00978659734946286,0.023324283535002377
gen_2,num_failures,0.0,0.0,0.02,0.44
output_1,func_mean,1.0,1.0,1.0,1.0
output_1,func_std,0.0,0.0,0.0,0.0
output_1,loss_mean,0.0,0.0,0.0,0.0
output_1,loss_std,0.0,0.0,0.0,0.0
output_1,num_failures,0.0,0.0,0.0,0.0
output_2,func_mean,1.0,1.0,1.0,1.0
output_2,func_std,0.0,0.0,0.0,0.0
output_2,loss_mean,0.0,0.0,0.0,0.0
output_2,loss_std,0.0,0.0,0.0,0.0
output_2,num_failures,0.0,0.0,0.0,0.0
precip_1a,func_mean,1.0,0.18,0.02,0.0
precip_1a,func_std,0.0,0.38418745424597095,0.13999999999999999,0.0
precip_1a,loss_mean,0.0,0.000420798580480556,0.0009671688008505478,0.001290448980140372
precip_1a,loss_std,0.0,0.00043333441287519,0.0004651125064222314,0.00015603950634331823
precip_1a,num_failures,0.0,0.08,0.5,0.9
precip_1b,func_mean,1.0,0.16,0.0,0.0
precip_1b,func_std,0.0,0.36660605559646714,0.0,0.0
precip_1b,loss_mean,0.0,0.00033263125885605856,0.0010112524616627963,0.0012664033469700542
precip_1b,loss_std,0.0,0.00034770837947568743,0.00043142762324934717,0.0002247119847976559
precip_1b,num_failures,0.0,0.06,0.54,0.88
precip_2a,func_mean,1.0,0.16,0.02,0.0
precip_2a,func_std,0.0,0.36660605559646714,0.13999999999999999,0.0
precip_2a,loss_mean,0.0,0.00039408121029131443,0.0010099165931533344,0.0012717468210079028
precip_2a,loss_std,0.0,0.0004143884787379273,0.0004485893396899745,0.00019540245100088191
precip_2a,num_failures,0.0,0.06,0.56,0.86
precip_2b,func_mean,1.0,0.18,0.0,0.0
precip_2b,func_std,0.0,0.38418745424597095,0.0,0.0
precip_2b,loss_mean,0.0,0.0002164106985328574,0.0010393057003615,0.00119960992149695
precip_2b,loss_std,0.0,0.0002612844064816029,0.0003842009855556522,0.0003347570273862094
precip_2b,num_failures,0.0,0.02,0.46,0.82
pwr_house,func_mean,1.0,0.9,0.26,0.06
pwr_house,func_std,0.0,0.3,0.4386342439892262,0.23748684174075835
pwr_house,loss_mean,0.0,0.014860000000000002,0.07482,0.09281999999999999
pwr_house,loss_std,0.0,0.025605475976829644,0.029684804193391614,0.019587434747817288
pwr_house,num_failures,0.0,0.04,0.48,0.84
stack_1,func_mean,1.0,1.0,0.4,0.0
stack_1,func_std,0.0,0.0,0.48989794855663565,0.0
